Gene,DlpsB_1,DlpsB_2,DlpsB_3,DpbpG_1,DpbpG_2,DpbpG_3,WT_1,WT_2,WT_3
gene-ACX60_RS01790,410,568,754,662,711,708,318,270,350
gene-ACX60_RS01795,364,660,645,595,702,658,412,453,541
gene-ACX60_RS01800,422,644,781,668,624,671,470,498,509
gene-ACX60_RS01805,1054,1920,2099,1775,1547,1915,2669,2367,2994
gene-ACX60_RS01810,1032,1646,1708,1954,1960,2198,1872,1968,2256
gene-ACX60_RS01815,25945,40430,45593,72582,72328,81869,57662,65476,71630
gene-ACX60_RS01820,6136,9215,9303,13145,12509,14693,11212,12077,14529
gene-ACX60_RS01825,1836,2650,3095,4648,4442,5538,4682,4877,5356
gene-ACX60_RS01830,3705,4922,5982,7122,7623,9108,5777,6493,7919
gene-ACX60_RS01835,2529,3827,4337,5547,5563,6533,4284,4697,5692
gene-ACX60_RS01840,1385,2245,2369,3822,3830,4111,3048,3397,3739
gene-ACX60_RS01845,7411,12386,11547,10575,12522,9641,1688,1880,1953
gene-ACX60_RS01850,56,86,177,90,89,102,57,51,65
gene-ACX60_RS01855,516,783,914,560,529,747,256,251,413
gene-ACX60_RS01860,281,440,506,561,650,618,234,231,300
gene-ACX60_RS01865,150,171,216,144,188,205,114,95,140
gene-ACX60_RS01870,123,174,211,120,81,136,129,144,180
gene-ACX60_RS01875,36,57,60,36,30,47,50,30,62
gene-ACX60_RS01880,86,141,159,99,77,102,139,120,131
gene-ACX60_RS01885,2,1,10,0,0,4,3,6,6
gene-ACX60_RS01890,248,301,457,180,177,216,617,700,856
gene-ACX60_RS01895,8559,12104,13063,12382,12101,14459,11639,13666,13327
gene-ACX60_RS01900,6346,9071,9158,7895,7888,8920,6818,7718,8220
gene-ACX60_RS01905,197,337,312,260,218,321,293,346,395
gene-ACX60_RS01910,416,558,548,481,496,390,313,313,371
gene-ACX60_RS01915,101,127,157,119,142,93,66,77,116
gene-ACX60_RS01920,449,790,687,648,418,499,499,477,581
gene-ACX60_RS01925,1574,2940,2490,1148,1290,1293,889,1073,1128
gene-ACX60_RS01930,647,1161,1292,1299,1259,1344,909,796,1011
gene-ACX60_RS01935,3051,4938,4715,3266,3127,3487,2752,2918,3228
gene-ACX60_RS01940,1829,2894,3115,1962,1669,2243,2080,2332,2519
gene-ACX60_RS01945,1907,2988,3015,2808,2120,2822,2230,2373,2734
gene-ACX60_RS01950,11960,17637,17645,12331,13331,12235,9232,10242,12586
